Altium Designer Pick and Place Locations
G:\github-acme\Control_Board_Model_C_(HW_Package)\20201215\Assembly\Pick_n_Place\BG95-M3_Global_TFT_SCREEN\20201215-SGU-Acme_CPU_Control_Board_C201_001_Pick_and_Place.txt

========================================================================================================================
File Design Information:

Date:       22/12/20
Time:       11:16
Revision:   9f4f32aa3b2fdfe45095d4dd2dc0797d616b20d4
Variant:    BG95-M3_Global_TFT_SCREEN
Units used: mil

Designator Comment                                      Layer       Footprint                        Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                          
R141       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            1350.000      1810.000      270      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R140       "RES SMD 75K OHM 1% 1/16W 0402"              BottomLayer R0402                            2075.000      1865.000      180      "75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"                                                         
R139       "RES SMD 27K OHM 1% 1/16W 0402"              TopLayer    R0402                            2075.000      1865.000      180      "27 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R138       "RES SMD 100K OHM 1% 1/16W 0402"             BottomLayer R0402                            930.000       175.000       270      "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R137       "RES SMD 75K OHM 1% 1/16W 0402"              BottomLayer R0402                            2075.000      1705.000      180      "75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"                                                         
R136       "RES SMD 75K OHM 1% 1/16W 0402"              BottomLayer R0402                            2075.000      1825.000      180      "75 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Automotive AEC-Q200 Thick Film"                                                         
R135       "RES SMD 100K OHM 1% 1/16W 0402"             BottomLayer R0402                            770.000       175.000       270      "100 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R134       "RES SMD 390K OHM 1% 1/16W 0402"             TopLayer    R0402                            2075.000      1705.000      180      "390 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R133       "RES SMD 390K OHM 1% 1/16W 0402"             TopLayer    R0402                            2075.000      1785.000      180      "390 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R132       "RES SMD 100 OHM 1% 1/16W 0402"              TopLayer    R0402                            2050.000      1665.000      180      "100 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R131       "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            1645.000      1825.000      180      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R130       "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            1945.000      1550.000      360      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R129       "RES SMD 0 OHM JUMPER 1/16W 0402"            BottomLayer R0402                            560.000       885.000       270      "0 Ohms Jumper 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                         
R127       "RES SMD 2.2 OHM 1% 1/16W 0402"              BottomLayer R0402                            480.000       885.000       90       "2.2 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R126       "RES SMD 2.2 OHM 1% 1/16W 0402"              BottomLayer R0402                            520.000       885.000       90       "2.2 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R125       "RES SMD 2.2 OHM 1% 1/16W 0402"              BottomLayer R0402                            400.000       910.000       360      "2.2 Ohms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R120       "RES SMD 10K OHM 1% 1/16W 0402"              TopLayer    R0402                            285.000       1080.000      360      "10 kOhms ±1% 0.063W, 1/16W Chip Resistor 0402 (1005 Metric) Moisture Resistant Thick Film"                                                          
R119       DNP*                                         TopLayer    R0402                            165.000       1080.000      360      "Placeholder for a 0402 resistor"                                                                                                                    
